"month";"births";"code"
"2019-12";"59800";"P"
"2019-11";"58700";"P"
"2019-10";"62700";"P"
"2019-09";"61500";"P"
"2019-08";"63000";"P"
"2019-07";"64600";"P"
"2019-06";"59800";"P"
"2019-05";"60100";"P"
"2019-04";"55700";"P"
"2019-03";"56600";"P"
"2019-02";"51900";"P"
"2019-01";"59900";"P"
"2018-12";"59931";"A"
"2018-11";"59937";"A"
"2018-10";"63588";"A"
"2018-09";"61834";"A"
"2018-08";"63860";"A"
"2018-07";"64823";"A"
"2018-06";"60292";"A"
"2018-05";"61232";"A"
"2018-04";"55364";"A"
"2018-03";"56391";"A"
"2018-02";"52733";"A"
"2018-01";"59752";"A"
"2017-12";"60841";"A"
"2017-11";"60763";"A"
"2017-10";"63830";"A"
"2017-09";"61693";"A"
"2017-08";"64654";"A"
"2017-07";"65170";"A"
"2017-06";"59935";"A"
"2017-05";"62091";"A"
"2017-04";"57195";"A"
"2017-03";"58676";"A"
"2017-02";"54948";"A"
"2017-01";"60446";"A"
"2016-12";"61250";"A"
"2016-11";"60546";"A"
"2016-10";"64513";"A"
"2016-09";"63579";"A"
"2016-08";"65109";"A"
"2016-07";"67237";"A"
"2016-06";"62797";"A"
"2016-05";"62373";"A"
"2016-04";"57235";"A"
"2016-03";"59634";"A"
"2016-02";"57854";"A"
"2016-01";"62570";"A"
"2015-12";"63637";"A"
"2015-11";"61899";"A"
"2015-10";"65888";"A"
"2015-09";"65449";"A"
"2015-08";"65784";"A"
"2015-07";"66701";"A"
"2015-06";"63984";"A"
"2015-05";"64144";"A"
"2015-04";"59699";"A"
"2015-03";"61115";"A"
"2015-02";"57525";"A"
"2015-01";"64596";"A"
"2014-12";"65573";"A"
"2014-11";"63078";"A"
"2014-10";"67637";"A"
"2014-09";"67426";"A"
"2014-08";"66837";"A"
"2014-07";"68465";"A"
"2014-06";"65018";"A"
"2014-05";"64527";"A"
"2014-04";"60665";"A"
"2014-03";"64557";"A"
"2014-02";"60373";"A"
"2014-01";"67011";"A"
"2013-12";"67052";"A"
"2013-11";"64462";"A"
"2013-10";"67931";"A"
"2013-09";"66818";"A"
"2013-08";"68466";"A"
"2013-07";"70099";"A"
"2013-06";"63680";"A"
"2013-05";"65152";"A"
"2013-04";"61106";"A"
"2013-03";"62652";"A"
"2013-02";"58533";"A"
"2013-01";"65670";"A"
"2012-12";"65869";"A"
"2012-11";"65122";"A"
"2012-10";"69892";"A"
"2012-09";"66919";"A"
"2012-08";"68642";"A"
"2012-07";"68774";"A"
"2012-06";"63920";"A"
"2012-05";"66341";"A"
"2012-04";"63184";"A"
"2012-03";"65079";"A"
"2012-02";"61634";"A"
"2012-01";"64914";"A"
"2011-12";"66124";"A"
"2011-11";"64559";"A"
"2011-10";"67464";"A"
"2011-09";"67003";"A"
"2011-08";"69486";"A"
"2011-07";"70231";"A"
"2011-06";"66950";"A"
"2011-05";"67624";"A"
"2011-04";"62244";"A"
"2011-03";"64702";"A"
"2011-02";"60316";"A"
"2011-01";"66293";"A"
"2010-12";"68258";"A"
"2010-11";"66874";"A"
"2010-10";"70298";"A"
"2010-09";"67959";"A"
"2010-08";"68783";"A"
"2010-07";"69761";"A"
"2010-06";"65535";"A"
"2010-05";"66774";"A"
"2010-04";"64024";"A"
"2010-03";"66066";"A"
"2010-02";"61107";"A"
"2010-01";"66785";"A"
"2009-12";"68307";"A"
"2009-11";"65117";"A"
"2009-10";"67903";"A"
"2009-09";"67988";"A"
"2009-08";"68311";"A"
"2009-07";"70900";"A"
"2009-06";"65184";"A"
"2009-05";"66099";"A"
"2009-04";"63560";"A"
"2009-03";"64725";"A"
"2009-02";"58890";"A"
"2009-01";"66436";"A"
"2008-12";"66250";"A"
"2008-11";"63865";"A"
"2008-10";"67489";"A"
"2008-09";"67820";"A"
"2008-08";"67926";"A"
"2008-07";"70282";"A"
"2008-06";"65352";"A"
"2008-05";"68582";"A"
"2008-04";"65943";"A"
"2008-03";"64405";"A"
"2008-02";"61219";"A"
"2008-01";"66911";"A"
"2007-12";"66724";"A"
"2007-11";"64811";"A"
"2007-10";"68727";"A"
"2007-09";"66488";"A"
"2007-08";"68249";"A"
"2007-07";"68411";"A"
"2007-06";"64156";"A"
"2007-05";"66638";"A"
"2007-04";"60994";"A"
"2007-03";"64561";"A"
"2007-02";"59939";"A"
"2007-01";"66287";"A"
"2006-12";"66387";"A"
"2006-11";"65741";"A"
"2006-10";"70117";"A"
"2006-09";"69029";"A"
"2006-08";"68913";"A"
"2006-07";"69705";"A"
"2006-06";"66224";"A"
"2006-05";"68860";"A"
"2006-04";"61797";"A"
"2006-03";"65394";"A"
"2006-02";"59915";"A"
"2006-01";"64814";"A"
"2005-12";"65648";"A"
"2005-11";"63574";"A"
"2005-10";"67111";"A"
"2005-09";"66424";"A"
"2005-08";"67070";"A"
"2005-07";"66574";"A"
"2005-06";"63627";"A"
"2005-05";"65178";"A"
"2005-04";"62437";"A"
"2005-03";"63902";"A"
"2005-02";"58823";"A"
"2005-01";"63987";"A"
